epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5819,1.63195,8.77843,0.70243,4.84205,1.56946,0.00175,0.25,0.07325,0.02195,0,0,0,0,1.65606,8.52317,0.69375,5.23145,1.80146,5.716e-05,5.716e-05,5.716e-05
2,44.3247,1.39569,8.86319,0.69942,4.30213,1.41892,0.3184,0.13889,0.14864,0.08437,0,0,0,0,1.52819,8.579,0.7007,4.1603,1.47755,0.000127337,0.000127337,0.000127337
3,66.0048,1.43587,8.84561,0.71114,3.61223,1.29958,0.85842,0.36111,0.35783,0.23545,0,0,0,0,1.16279,8.40559,0.69969,3.47744,1.1524,0.000196099,0.000196099,0.000196099
4,87.8429,1.26568,8.20412,0.70174,2.75885,1.15331,0.91361,0.36111,0.38643,0.26878,0,0,0,0,1.06756,8.32924,0.6998,3.0838,1.10208,0.000263446,0.000263446,0.000263446
5,109.063,1.1932,8.36748,0.69408,2.51776,1.11141,0.89965,0.36111,0.39094,0.3022,0,0,0,0,0.94327,8.12607,0.69174,2.48386,1.02435,0.000329379,0.000329379,0.000329379
6,130.019,1.10699,7.6109,0.70068,1.9686,1.08359,0.40545,0.38889,0.40859,0.31908,0,0,0,0,0.92179,8.00045,0.69163,2.65341,1.02301,0.000393897,0.000393897,0.000393897
7,150.96,1.07649,7.38442,0.69321,1.93451,1.08725,0.36744,0.47222,0.50234,0.34985,0,0,0,0,1.00976,7.84607,0.69368,1.86984,1.10733,0.000457,0.000457,0.000457
8,172.251,0.93191,7.29952,0.69305,1.92731,1.05317,0.45592,0.28783,0.41371,0.30955,0,0,0,0,0.95969,7.7418,0.68743,2.27413,1.09357,0.000518688,0.000518688,0.000518688
9,193.242,0.94607,7.13586,0.68231,1.89376,1.03052,0.40825,0.59722,0.49005,0.35273,0,0,0,0,0.99211,7.59438,0.67895,1.84524,1.10657,0.000578962,0.000578962,0.000578962
10,214.542,0.97622,6.80636,0.65844,1.86266,1.01142,0.4965,0.68628,0.51232,0.36859,0,0,0,0,0.99933,7.4636,0.67161,1.9561,1.1091,0.000637821,0.000637821,0.000637821
11,235.819,0.97498,6.67948,0.64112,1.6159,1.03609,0.62003,0.65424,0.55186,0.37518,0,0,0,0,1.04295,7.45853,0.66264,2.2267,1.1363,0.000695266,0.000695266,0.000695266
12,256.94,0.99676,6.37372,0.65686,1.5163,1.0614,0.33982,0.38889,0.4213,0.30243,0,0,0,0,1.07202,7.36692,0.65285,2.32401,1.1798,0.000751295,0.000751295,0.000751295
13,277.876,0.96212,6.70301,0.63941,1.60374,1.02798,0.46612,0.38246,0.4559,0.33433,0,0,0,0,1.03458,7.24402,0.64483,2.18089,1.13385,0.00080591,0.00080591,0.00080591
